id,tier,category,factory,file_name,size_kb,exists,pdf_type,pages,analyzed_pages,total_chars,price_keywords,model_keywords,spec_keywords,currency_patterns,currency,has_table,table_rows,table_cols,price_col_found,price_col_confidence,price_col_index,price_samples,verdict,reason,error,relative_path
S01,1,灯带,迪闻,Newest Quotation-3m 5m 10m RGB STRIP LIGHT 20251105.pdf,215,true,mixed,2,2,1558,4,0,6,4,RMB,true,5,3,true,low,5,31.35RMB | 36.00RMB,manual-review,有表格结构 + 低置信价格列，需人工确认,,灯带/迪闻/20251105/Newest Quotation-3m 5m 10m RGB STRIP LIGHT 20251105.pdf
S02,1,G4G9,普雅,G4 G9源头工厂 普雅产品价目表220318杭州汇浮.pdf,117.2,true,text,1,1,987,2,2,2,0,,true,3,6,true,medium,10,6.9 | 8.4 | 16.5 | 21.2,importable,有表格结构 + 可识别价格列,,光源/G4G9/G4 G9源头工厂 普雅产品价目表220318杭州汇浮.pdf
S03,1,防潮灯,普照,CL04防潮灯报价表2024年4月25 普照.pdf,209.4,true,text,1,1,998,3,1,3,0,RMB,true,4,6,true,medium,2,10.84 | 14.67 | 19.71 | 10.11 | 12.45,importable,有表格结构 + 可识别价格列,,户外照明 工业照明/防潮灯/普照/CL04防潮灯报价表2024年4月25 普照.pdf
S04,1,户外工厂-未判定,凯晟德,KCD-TG-01quotation 20230911更Ari.pdf,644,true,text,1,1,2069,7,1,31,4,mixed,false,4,3,true,high,2,￥89.00 | ￥129.00 | ￥165.00,manual-review,有价格关键词但无明确表格结构,,户外照明 工业照明/户外工厂/凯晟德/2023年9月/KCD-TG-01quotation 20230911更Ari.pdf
S05,1,三防灯,普照,双色管A-报价表_20250403205611.pdf,1249.5,true,text,1,1,930,3,1,5,0,,true,2,6,true,high,2,28.79 | 46.40 | 59.97 | 32.83 | 51.12,importable,有表格结构 + 可识别价格列,,户外照明 工业照明/三防灯/普照/普照2025-4月更新/双色管A-报价表_20250403205611.pdf
S06,1,三防灯,普照,双色管B报价表_20250403205729.pdf,210.9,true,text,1,1,714,8,1,3,6,RMB,false,4,8,true,high,3,￥24.31 | ￥33.24 | ￥15.84 | ￥26.72 | ￥36.36,manual-review,有价格关键词但无明确表格结构,,户外照明 工业照明/三防灯/普照/普照2025-4月更新/双色管B报价表_20250403205729.pdf
S07,1,磁吸灯,汇盈聚,SI LI汇盈聚17-30-35超薄磁吸报价2022-09.pdf,644.6,true,text,5,5,4121,210,4,0,205,RMB,false,4,3,true,low,4,18.00 | 27.00 | 36.00 | 54.00 | 14.56,manual-review,有价格关键词但无明确表格结构,,室内照明/磁吸灯/汇盈聚/汇盈聚超薄轨道灯/汇盈聚 磁吸灯最新报价 20230106/SI LI汇盈聚17-30-35超薄磁吸报价2022-09.pdf
S08,1,面板灯,进成,报价单 明装打眼款260404(2).pdf,169.4,true,text,2,2,1786,14,4,4,0,RMB,false,3,3,true,low,11,0.9 | 0.9 | 0.9 | 0.9 | 0.9,manual-review,有价格关键词但无明确表格结构,,室内照明/大面板/进成/报价单 明装打眼款260404(2).pdf
S09,1,面板灯,新时达,Frameless LED Big Panel - Wellux 20240814 3Yrs Warranty isolated driver without CE ERP CB.pdf,296.2,true,text,1,1,2769,8,1,8,21,USD,true,6,14,true,medium,5,$4.69 | $5.74 | $6.06 | $5.65 | $6.54,manual-review,有表格+价格列但货币是 USD,,室内照明/大面板/新时达/二代欧洲款 无边框/刘林姐发-核价单/Frameless LED Big Panel - Wellux 20240814 3Yrs Warranty isolated driver without CE ERP CB.pdf
S10,1,风扇灯,伊特/杰莱特,2025年杰莱特风扇产品报价-全.pdf,4884.1,true,text,12,5,9367,81,8,17,65,RMB,true,91,4,true,medium,3,￥125 | ￥122 | ￥122 | ￥122 | ￥122,importable,有表格结构 + 可识别价格列,,室内照明/风扇灯/伊特/2025年杰莱特风扇产品报价-全.pdf
S11,2,灯带,华浦,L069 LED STRIP.pdf,6634.1,true,scan,30,5,0,0,0,0,0,,false,0,0,false,none,,,skip,扫描件，无可提取文字,,灯带/广交会最终核价/L069 灯带套装价格参考/L069 LED STRIP.pdf
S12,2,工作灯,绿晟,LED WORKLGHT2025.pdf,12174.4,true,scan,20,5,28,0,0,0,0,,false,0,0,false,none,,,skip,扫描件，无可提取文字,,户外照明 工业照明/工作灯/绿晟luxson/绿晟工作灯报价2026-1-13/LED WORKLGHT2025.pdf
S13,2,市电壁灯,蒂罗曼,Alum Wall Lamp Price List - Wellux 202403.pdf,23037.3,true,text,48,5,8864,2,1,2,112,USD,true,48,7,true,high,5,$1.67 | $1.79 | $2.68 | $3.65 | $3.93,manual-review,有表格+价格列但货币是 USD,,户外照明 工业照明/市电壁灯/蒂罗曼/Alum Wall Lamp Price List - Wellux 202403.pdf
S14,2,太阳能壁灯,蓝德赛,Solar Garden Light Quotation -Welfull Group 20240226.pdf,4243.4,true,text,12,5,8657,42,10,9,28,mixed,true,65,3,true,medium,3,$1.83 | 0.55 | $2.29 | $2.90 | $2.40,manual-review,有表格+价格列但货币是 mixed,,户外照明 工业照明/太阳能壁灯草坪灯地插灯/太阳能壁灯草坪灯/蓝德赛/Solar Garden Light Quotation -Welfull Group 20240226.pdf
S15,3,磁吸灯,汇盈聚(发客户),Wellux Quotation of  Magnetic 20 Series-2021.12.2.pdf,1626.8,true,text,4,4,7682,6,0,3,62,USD,true,24,7,true,high,6,$6.54 | $6.62 | $8.46 | $9.08 | $7.38,manual-review,有表格+价格列但货币是 USD,,室内照明/磁吸灯/汇盈聚/磁吸灯 推广/发客户/Wellux Quotation of  Magnetic 20 Series-2021.12.2.pdf
S16,3,镜前灯,惠尔佳(发客户),Mirror + Mirror Light + Dinning Lamp Quotation - Welfull 20250821.pdf,1805,true,text,14,5,11300,8,2,36,74,USD,true,17,5,true,medium,9,$2.35 | $2.35 | $3.03 | $2.35 | $2.43,manual-review,有表格+价格列但货币是 USD,,室内照明/镜前灯/镜前灯-中山惠尔佳/非洲报价/Mirror + Mirror Light + Dinning Lamp Quotation - Welfull 20250821.pdf