id,category,factory,file_name,currency,action,reason,price_rows,model_price_rows,longest_run,dominant_cols,price_samples,relative_path
S01,灯带,迪闻,Newest Quotation-3m 5m 10m RGB STRIP LIGHT 20251105.pdf,RMB,custom-parser-review,存在 RMB 价格行，但行列结构不够稳定，需要单文件 profile 规则。,13,0,11,3,24 | 0.5 | 14 | 6.5 | 34.5 | 30 | 1.5 | 31.35RMB,灯带/迪闻/20251105/Newest Quotation-3m 5m 10m RGB STRIP LIGHT 20251105.pdf
S04,户外工厂-未判定,凯晟德,KCD-TG-01quotation 20230911更Ari.pdf,mixed,custom-parser-review,同时出现 RMB/USD 信号，需要人工确认应取哪一列；不能自动导入。,11,5,6,3,1000 | ￥69.00 | 35.00 | ￥89.00 | ￥129.00 | ￥165.00 | 1,户外照明 工业照明/户外工厂/凯晟德/2023年9月/KCD-TG-01quotation 20230911更Ari.pdf
S06,三防灯,普照,双色管B报价表_20250403205729.pdf,RMB,profile-ready,RMB 价格行和型号/规格行稳定，可进入下一步 profile parser。,8,6,7,10,￥13.38 | 0.5 | 62 | 34 | 33.5 | ￥24.31 | 0.9 | 122,户外照明 工业照明/三防灯/普照/普照2025-4月更新/双色管B报价表_20250403205729.pdf
S07,磁吸灯,汇盈聚,SI LI汇盈聚17-30-35超薄磁吸报价2022-09.pdf,RMB,custom-parser-review,存在 RMB 价格行，但行列结构不够稳定，需要单文件 profile 规则。,75,3,12,3,￥102 | ￥74 | ￥54 | ￥115 | ￥87 | ￥67 | ￥100 | ￥72,室内照明/磁吸灯/汇盈聚/汇盈聚超薄轨道灯/汇盈聚 磁吸灯最新报价 20230106/SI LI汇盈聚17-30-35超薄磁吸报价2022-09.pdf
S08,面板灯,进成,报价单 明装打眼款260404(2).pdf,RMB,custom-parser-review,存在 RMB 价格行，但行列结构不够稳定，需要单文件 profile 规则。,12,0,4,14,0.23 | 0.8 | 0.9 | 42.41 | 48.4 | 50.91 | 58.36 | 15,室内照明/大面板/进成/报价单 明装打眼款260404(2).pdf
S09,面板灯,新时达,Frameless LED Big Panel - Wellux 20240814 3Yrs Warranty isolated driver without CE ERP CB.pdf,USD,exclude-customer-usd,价格语义为 USD/FOB 客户价，不应写入 purchase_price。,16,0,6,14,1.0 | $4.69 | $5.97 | 595.0 | 28.0 | $5.74 | $7.02 | $6.06,室内照明/大面板/新时达/二代欧洲款 无边框/刘林姐发-核价单/Frameless LED Big Panel - Wellux 20240814 3Yrs Warranty isolated driver without CE ERP CB.pdf
S13,市电壁灯,蒂罗曼,Alum Wall Lamp Price List - Wellux 202403.pdf,USD,exclude-customer-usd,价格语义为 USD/FOB 客户价，不应写入 purchase_price。,177,0,41,9,$1.36 | $1.67 | $1.79 | $2.68 | $3.65 | $3.93 | $4.95 | $6.31,户外照明 工业照明/市电壁灯/蒂罗曼/Alum Wall Lamp Price List - Wellux 202403.pdf
S14,太阳能壁灯,蓝德赛,Solar Garden Light Quotation -Welfull Group 20240226.pdf,mixed,custom-parser-review,同时出现 RMB/USD 信号，需要人工确认应取哪一列；不能自动导入。,120,0,84,3,1 | 1.2 | 400 | 10 | 42.5 | 12.96 | $1.83 | 0.55,户外照明 工业照明/太阳能壁灯草坪灯地插灯/太阳能壁灯草坪灯/蓝德赛/Solar Garden Light Quotation -Welfull Group 20240226.pdf
S15,磁吸灯,汇盈聚(发客户),Wellux Quotation of  Magnetic 20 Series-2021.12.2.pdf,USD,exclude-customer-usd,价格语义为 USD/FOB 客户价，不应写入 purchase_price。,86,0,24,7,1000 | 25.5 | 31.4 | 1500 | 0.53 | 2 | 4 | 2.3,室内照明/磁吸灯/汇盈聚/磁吸灯 推广/发客户/Wellux Quotation of  Magnetic 20 Series-2021.12.2.pdf
S16,镜前灯,惠尔佳(发客户),Mirror + Mirror Light + Dinning Lamp Quotation - Welfull 20250821.pdf,USD,exclude-customer-usd,价格语义为 USD/FOB 客户价，不应写入 purchase_price。,195,16,38,5,5.28 | 35 | $34.45 | 4 | $26.71 | $65.11 | $35.24 | 3,室内照明/镜前灯/镜前灯-中山惠尔佳/非洲报价/Mirror + Mirror Light + Dinning Lamp Quotation - Welfull 20250821.pdf